978000000030,Know No Fear,Dan Abnett,Black Library,2012,Ficcion,3,Estante W4,Crónica del ataque traidor de los Word Bearers contra los Ultramarines en Calth.
978000000031,Eisenhorn Omnibus,Dan Abnett,Black Library,2004,Ficcion,3,Estante W5,Trilogía que sigue al inquisidor Gregor Eisenhorn luchando contra la herejía en el Imperio.
978000000032,Gaunt's Ghosts: The Founding,Dan Abnett,Black Library,1999,Ficcion,3,Estante W5,Primeras novelas sobre los Tanith First and Only en la Guardia Imperial.
978000000033,The First Heretic,Aaron Dembski-Bowden,Black Library,2010,Ficcion,3,Estante W5,Relata la caída de los Portadores de la Palabra al culto del Caos.
978000000034,The Talon of Horus,Aaron Dembski-Bowden,Black Library,2014,Ficcion,2,Estante W6,Historia del surgimiento de la Black Legion tras la Herejía de Horus.
978000000035,The Infinite and the Divine,Robert Rath,Black Library,2020,Ficcion,2,Estante W6,Novela centrada en dos Necrones rivales a través de milenios de historia.
978000000036,Ravenor Omnibus,Dan Abnett,Black Library,2009,Ficcion,2,Estante W6,Sigue al inquisidor Ravenor y su célula de agentes encubiertos.
978000000037,Night Lords Omnibus,Aaron Dembski-Bowden,Black Library,2011,Ficcion,2,Estante W7,Trilogía sobre una banda de guerra de los Amos de la Noche.
978000000038,Space Wolf,William King,Black Library,1999,Ficcion,2,Estante W7,Relata los inicios del guerrero lobo espacial Ragnar Blackmane.
978000000039,Dark Imperium,Guy Haley,Black Library,2017,Ficcion,2,Estante W7,Novela situada tras la Gran Fisura con Roboute Guilliman y la nueva era del Imperio.
978000000040,Devastation of Baal,Guy Haley,Black Library,2017,Ficcion,2,Estante W8,Crónica del asalto de la Flota Enjambre Leviathan al hogar de los Ángeles Sangrientos.
978000000041,The Emperor's Gift,Aaron Dembski-Bowden,Black Library,2012,Ficcion,2,Estante W8,Novela centrada en los Caballeros Grises contra los demonios del Caos.
978000000042,Pariah: Bequin Book One,Dan Abnett,Black Library,2013,Ficcion,2,Estante W8,Inicio de la trilogía Bequin entrelazando las tramas de Eisenhorn y Ravenor.
978000000043,The Solar War,John French,Black Library,2019,Ficcion,2,Estante W9,Primer volumen del Asedio de Terra en la fase final de la Herejía de Horus.
978000000044,The Lost and the Damned,Guy Haley,Black Library,2019,Ficcion,2,Estante W9,Segunda novela del Asedio de Terra con el cerco intensificándose.
978000000045,The First Wall,Gav Thorpe,Black Library,2020,Ficcion,2,Estante W9,Tercer libro del Asedio de Terra centrado en la defensa heroica de las murallas.
978000000046,Dune,Frank Herbert,Ace Books,1965,Ciencia Ficcion,3,Estante S1,Clásico de ciencia ficción sobre política y ecología en el planeta desértico Arrakis.
978000000047,Neuromante,William Gibson,Ace Books,1984,Ciberpunk,2,Estante S1,Novela fundacional del ciberpunk con hackers y megacorporaciones.
978000000048,Fundacion,Isaac Asimov,Gnome Press,1951,Ciencia Ficcion,3,Estante S1,Historia de un plan para salvar el conocimiento galáctico mediante la psicohistoria.
978000000049,2001: Una odisea del espacio,Arthur C. Clarke,Hutchinson,1968,Ciencia Ficcion,2,Estante S2,Relato de la evolución humana y el contacto con una inteligencia superior.
978000000050,La guerra de los mundos,H. G. Wells,Heinemann,1898,Ciencia Ficcion,2,Estante S2,Invasión marciana a la Tierra y respuesta de la humanidad.
978000000051,Un mundo feliz,Aldous Huxley,Chatto & Windus,1932,Ciencia Ficcion,3,Estante S2,Distopía sobre una sociedad controlada por condicionamiento y placer.
978000000052,Fahrenheit 451,Ray Bradbury,Ballantine Books,1953,Ciencia Ficcion,3,Estante S3,Novela sobre un futuro donde se queman libros para controlar el pensamiento.
978000000053,Marte Rojo,Kim Stanley Robinson,HarperCollins,1992,Ciencia Ficcion,2,Estante S3,Crónica del inicio de la colonización y terraformación de Marte.
978000000054,El fin de la eternidad,Isaac Asimov,Doubleday,1955,Ciencia Ficcion,2,Estante S3,Viajes temporales y manipulación de la historia por una organización secreta.
978000000055,Los propios dioses,Isaac Asimov,Doubleday,1972,Ciencia Ficcion,2,Estante S3,Historia sobre un experimento de intercambio de energía entre universos paralelos.
978000000056,Metro 2033,Dmitry Glukhovsky,AST,2005,Ciencia Ficcion,3,Estante M1,Novela posapocalíptica ambientada en el metro de Moscú tras una guerra nuclear.
978000000057,Metro 2034,Dmitry Glukhovsky,AST,2009,Ciencia Ficcion,3,Estante M1,Secuela que sigue nuevas historias y personajes en las estaciones del metro de Moscú.
978000000058,Metro 2035,Dmitry Glukhovsky,AST,2015,Ciencia Ficcion,3,Estante M1,Cierre de la trilogía donde Artyom busca la verdad más allá del metro.

